precursor,n_mofs_sharing_precursor,co2_uptake_range,ch4_uptake_range
CC1=NC(=C([N]1)C(=O)[O-])C(=O)[O-].CC1=N[C](C(=N1)C(=O)[O-])C(=O)[O-].[Eu].[O-]C(=O)C1=N[C]=N[C]1C(=O)[O-].[O-]C(=O)C1=N[C]N=C1C(=O)[O-].[Zn],2,0.03562683099999964,0.035596697899999974
CC1=NC=C[N]1.CC1=N[CH]C=N1.[Zn],8,0.143099306,0.7770675213000011
CC1=NC=C[N]1.[Zn],8,0.08293366599999999,0.7600802823000006
CC1=NN=C([C]1[C]1C(=NN=C1C)C)C.CC1=N[N]C(=C1C1=C(C)[N]N=C1C)C.[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn],2,0.033691494000000044,0.19770836509999867
CC1=NN=C([N]1)C.[Cu][OH]1[Cu]O[Cu]1,2,0.12010627600000001,0.13621425519999875
CC1=NN=C([N]1)C.[O-]C(=O)c1ccc(cc1)C(=O)O.[Zn].[Zn][Zn],2,0.029248098,0.03738771009999908
CC1=NN=C([N]1)CC1=[N]=C(N=N1)C.CC1=[N]=C(N=N1)CC1=[N]=C(N=N1)C.[Zn],4,0.25123734500000006,0.7553361285000002
CC1=NN=N[N]1.[O-]C(=O)c1ccncc1.[Zn],2,0.1820507469999999,0.0021747704000003587
CC1=NN=N[N]1.[Zn],4,2.041080988,4.8259335032
CC1=N[CH]N[N]1.[Zn],3,0.088101394,0.6038796742000008
CCC(=O)[N][N]C(=O)c1ccccc1[O].[CH2]C(=O)[N][N]C(=O)c1ccccc1[O].[Mn].n1ccc(cc1)CCc1ccncc1,2,0.167230341,0.14759683609999996
CCC(=O)[N][N]C(=O)c1ccccc1[O].[Mn].n1ccc(cc1)CCc1ccncc1,5,0.1277377270000002,0.3335111222000009
CCC1=NN=C[N]1.[Ag].[Ag][Ag],2,0.03422422800000002,0.005469884499999855
CCCCCC(=O)[N][N]C(=O)c1ccccc1[O].[Mn].n1ccc(cc1)CCc1ccncc1,8,0.15220180500000002,0.3674500483000003
CCOc1c(cc(cc1c1ccc(cc1)C(=O)[O-])c1cc(c2ccc(cc2)C(=O)[O-])c(c(c1)c1ccc(cc1)C(=O)[O-])OCC)c1ccc(cc1)C(=O)[O-].[Cu][Cu],25,1.54088113,8.633614989699998
CCOc1cc(c2ccc(cc2)C(=O)[O-])c2c(c1c1c(OCC)cc(c3c1ccc(c3)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])ccc(c2)c1ccc(cc1)C(=O)[O-].[Cu][Cu],2,0.03731838799999998,5.6366623736
CCc1cnc(c(c1)C(=O)[O-])C(=O)[O-].[Co].n1ccc(cc1)CCc1ccncc1,2,0.491508069,0.25335299010000023
CCn1cnc(c1c1ccc(cc1)c1ccncc1)c1ccc(cc1)c1ccncc1.[Co].[O-]C(=O)C.[O-]C(=O)c1ccc(cc1)C(=O)[O-],2,0.04583788000000011,0.027551999200000843
COC(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cu][Cu],2,0.5908707150000003,0.46286621839999986
CO[C](c1cc(cc(c1)C(=O)[O-])C(=O)[O-])OC.[CH2]O[C](c1cc(cc(c1)C(=O)[O-])C(=O)[O-])OC.[CH2]O[C](c1cc(cc(c1)C(=O)[O-])C(=O)[O-])O[CH2].[Cu][Cu],3,0.6331039669999998,0.8853455016999998
COc1c(cc(cc1c1ccc(cc1)C(=O)[O-])c1cc(c2ccc(cc2)C(=O)[O-])c(c(c1)c1ccc(cc1)C(=O)[O-])OC)c1ccc(cc1)C(=O)[O-].[Cu][Cu],18,1.464130671,7.870941367999999
COc1ccc2c(c1)c(ccn2)C(C1CC2CCN1CC2C(=O)[O-])O.[Cd],2,0.05101077799999998,0.30270063280000015
C[C](Oc1c(cc(cc1c1ccc(cc1)C(=O)[O-])c1cc(c2ccc(cc2)C(=O)[O-])c(c(c1)c1ccc(cc1)C(=O)[O-])O[C](C)C)c1ccc(cc1)C(=O)[O-])C.[Cu][Cu],2,0.0028611460000000366,0.2939269754999998
C[C](c1ccncc1)[N][N][C](c1ccncc1)C.[Cu][Cu].[O-]C(=O)CCCC(=O)[O-],2,0.039996328,0.09961450290000018
Cc1[nH][n-]c(c1Cc1c(C)[n-][nH]c1C)C.[Cd],2,0.508282138,1.031975329199999
Cc1[nH][n-]c(c1Cc1cccc(n1)Cc1c(C)[n-][nH]c1C)C.[C]#N.[Cu].[Cu][Cu],6,0.1957980640000001,1.4554552604000002
Cc1[nH][n-]c(c1c1c(C)[n-][nH]c1C)C.[Ag],2,0.660233515,0.4389354154999996
Cc1[nH][n-]c(c1c1c(C)[n-][nH]c1C)C.[Cd],6,3.544723014,7.057466257
Cc1[nH][n-]c(c1c1c(C)[n-][nH]c1C)C.[Co],2,1.9092008339999997,9.063502131900002
Cc1[nH][n-]c(c1c1c(C)[n-][nH]c1C)C.[Cu]I,2,0.29129634800000004,0.01945450659999981
Cc1[nH][n-]c(c1c1c(C)[n-][nH]c1C)C.[Fe],5,0.05135129500000002,0.05697779319999996
Cc1c(C)c(CNc2cc(cc(c2)C(=O)O)C(=O)[O-])c(c(c1CNc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C)C.[Sm],3,0.438742859,3.7674608346999996
Cc1c(COc2cccc(c2)C(=O)[O-])c(C)c(c(c1COc1cccc(c1)C(=O)[O-])C)COc1cccc(c1)C(=O)[O-].[Zn],2,0.522545092,12.1587697074
Cc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cd],2,0.009099014999999877,0.030964613700000143
Cc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Mn],2,0.07652060199999955,0.005090349599999655
Cc1ccc(cc1)C1=C2C=CC(=C(c3ccncc3)C3=NC(=C(C4=CC=C(C(=C5N=C1C=C5)c1ccncc1)[N]4)c1ccc(cc1)C)C=C3)[N]2.[Co],2,0.0066084410000000066,0.1897129127
Cc1nc(c([nH]1)C(=O)[O-])C(=O)[O-].[Eu].[O-]C(=O)C(=O)[O-],2,0.012424735000000187,0.02881683800000001
Cc1nc(c([nH]1)C(=O)[O-])C(=O)[O-].[Gd].[O-]C(=O)C(=O)[O-],2,0.08570174099999983,0.007215761699999934
Cc1nc(c([nH]1)C(=O)[O-])C(=O)[O-].[O-]C(=O)C(=O)[O-].[Sm],3,0.11329263799999989,0.12695802649999965
Cc1nccn1CCCCn1ccnc1C.[Cd].[O-]C(=O)c1c(F)c(F)c(c(c1F)F)C(=O)[O-],2,0.052226500999999814,0.1009030080000004
Cl[Cd].Cl[Cd]Cl.[Cd].n1ccc(cc1)C1=NN=N[N]1.n1ccc(cc1)C1=N[N]N=N1,2,1.126560765,3.9227043909
Cl[Cu].Nc1ccc(cc1)C1=NN=C([N]1)c1ccc(cc1)N.Nc1ccc(cc1)C1=N[N]C(=N1)c1ccc(cc1)N.Nc1ccc(cc1)C1=[N]=C(N=N1)c1ccc(cc1)N.[Cu],3,0.0064658210000000105,0.02119068440000005
Cl[Cu].[Cu].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],2,0.012673970000000034,0.021745187100000507
Cl[Cu].[Cu].n1ccc(cc1)c1ccncc1,3,0.546110613,9.075971265800002
Cl[Fe]O[Fe]Cl.[O-]C(=O)C(=O)[O-],8,0.024790879000000002,6.6077733975
Cl[Fe][OH][Fe]Cl.[O-]C(=O)C(=O)[O-],3,0.085854938,1.3361986995
Cl[Mn].Cl[Mn]Cl.N1=Nc2c(=N1)cc1c(=NN=N1)c2.[Mn],2,0.2142297949999996,0.22489962009999953
F[Al].F[Al]F.[Al].[O-]C(=O)[C]1[C][C][C]([C][C]1)C(=O)[O-],3,0.07224716499999984,0.1981944165999998
F[Al].F[Al]F.[Al].[O-]C(=O)c1ccc(cc1)C(=O)[O-],2,0.01758131499999993,0.005726570300000233
F[Al].[O-]C(=O)[C]1[C][C][C]([C][C]1)C(=O)[O-],13,0.15388160800000006,0.9390084156000018
F[Al]F.[Al].[O-]C(=O)[C]1[C][C][C]([C][C]1)C(=O)[O-],5,0.09579118799999997,0.6871973213999993
F[Cd].[Cd].[O-]C(=O)c1ccncc1.n1ccc(cc1)c1ccncc1,2,0.7695417419999999,0.8434201581999998
F[Co].OC(C(C(=O)[O-])O)C(=O)[O-].n1ccc(cc1)c1ccncc1,2,0.651731282,0.3260121235
F[U].Oc1cc(c(cc1P(=O)([O])[O])O)P(=O)([O])[O],2,0.09513314400000006,1.8791297783999998
F[U].[O]P(=O)(c1ccc(cc1)P(=O)([O])[O])[O].[U],3,0.05449221800000001,0.5225220594
Fc1c(Cc2ccncc2)c(F)c(c(c1F)Cc1ccncc1)F.[Cd],8,1.4112671519999997,1.3626150957000007
Fc1c(F)c(ccc1c1ccncc1)c1ccncc1.[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn][Zn],2,0.527790059,2.9037161172
I[Cu]12[Cu]3([Cu]1([Cu]23I)I)I.[Cu][Cu].[O-]C(=O)c1cncc(c1)C(=O)[O-],4,0.03692685999999995,0.03887796680000033
I[Cu]12[S]3[Mo]4562[S]1[Cu]5[S]6[Cu]34.n1ccc(cc1)c1ccncc1,2,0.08371311200000009,0.047274144500000226
I[Cu][Cu]I.[Cu][Cu].[O-]C(=O)c1ccc(cc1)c1cncnc1,2,0.010539589000000071,1.1093096062
I[Zn]I.n1ccc(cc1)C1=NC(=[N]=C([N]1)c1ccncc1)c1ccncc1,78,0.5527439040000001,5.952456353800001
I[Zn]I.n1ccc(cc1)[C]1NC(=NC(=N1)c1ccncc1)c1ccncc1,2,0.00047338799999999126,0.021953335900000148
N#CC(C(c1ccc(cc1)[C](C#N)C#N)(C#N)C#N)(c1ccc(cc1)[C](C#N)C#N)C#N.[Zn].n1ccc(cc1)c1ccncc1,5,0.29545600299999997,0.4396311332999998
N#CC1=[C]C(=C([C]=C1C#N)C#N)C#N.[Cu],2,0.873068972,0.1832576268999997
N#C[C](c1c(F)c(F)c(c(c1F)F)[C](C#N)C#N)C#N.[Cu],3,1.865553115,3.9819131080999988
N#C[C](c1c2[N]S[N]c2c(c2c1nsn2)[C](C#N)C#N)C#N.[Ru][Ru],2,1.2251368140000003,0.35361429860000015
N#C[C](c1ccc(cc1)[C](C#N)C#N)C#N.[Cd],2,0.39733909399999995,0.006992665600000336
N#C[C](c1ccc(cc1)[C](C#N)C#N)C#N.[Cu],3,0.8955424510000001,1.2014203717999994
N#C[C](c1ccc(cc1)[C](C#N)C#N)C#N.[Fe],4,4.564544143,2.0413109492999997
N#C[C](c1ccc(cc1)[C](C#N)C#N)C#N.[Mn],2,0.07825735500000003,0.4266659319000006
N#C[C](c1ccc(cc1)[C](C#N)C#N)C#N.[Zn],4,4.614052637,5.7446966196
N#C[N]C#N.[Co],3,4.084954809,3.6926825111
N#C[N]C#N.[Cu].[Mn],2,0.0007622280000000037,0.12202899350000074
N#C[N]C#N.[Fe],4,3.114854363,4.188485428
N#C[N]C#N.[Mn],6,0.058567891999999996,3.6986175151999996
N#C[N]C#N.[Ni],2,0.0027743370000000017,1.0868466027999997
N#C[N]C#N.[Ni].n1ccc(cc1)CCc1ccncc1,3,0.31138486600000004,0.3535322279999997
N#Cc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Dy][Dy],2,1.0917283189999996,1.5421834921000004
N#Cc1ccc(cc1)c1ccc(cc1)C#N.[Ag],5,0.523782655,1.2084248454999997
N#Cc1ccc(s1)c1ccc(s1)C#N.[Ag],2,0.03582317,0.007965844299999914
N#Cc1ccc(s1)c1ccc(s1)c1ccc(s1)C#N.[Ag],2,0.06023127499999992,0.3378485858999998
N1=CC=N[N]1.[CH]1C=NN=N1.[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn],3,2.230013264,7.1012966236
