mof_id,precursor,error_type,likely_cause
2477,[Mg].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[O-][n+]1ccc(cc1)c1cc[n+](cc1)[O-],false_positive,unexplained
2478,[Mg].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[O-][n+]1ccc(cc1)c1cc[n+](cc1)[O-],false_positive,unexplained
2492,[Cd].[O-]C(=O)c1cnccc1C(=O)[O-].n1ccc(cc1)c1ccncc1,false_negative,unexplained
2493,[Cd].[O-]C(=O)c1cnccc1C(=O)[O-].n1ccc(cc1)c1ccncc1,false_negative,unexplained
2576,O=C(N1CCCC1C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cd].[N]1[N][C]2[C]3[C]2N2[C]4[C]1[C]4N3[N]2,false_negative,unexplained
2790,C(CN1[N]C=N[CH]1)CCn1ncnc1.[Cd],false_negative,unexplained
2821,[Cd].[O-]C(=O)c1cnccc1C(=O)[O-].n1ccc(cc1)c1ccncc1,false_negative,unexplained
2844,Nn1c(nnc1c1cccc(c1)c1ccncc1)c1cccc(c1)c1ccncc1.[Cd],false_negative,unexplained
2903,O=C1NCCN1.[Cd].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],false_negative,unexplained
2999,[Al].[O-]C(=O)[C]1[C][C][C]([C][C]1)C(=O)[O-].[O],false_positive,unusual_metal
3083,[Cu].n1ccc(cc1)c1nnc(o1)c1ccncc1,false_negative,unexplained
3181,[Cu].n1ncn(c1)C12CC3(CC(C2)(CC(C1)(C3)n1cnnc1)n1cnnc1)n1cnnc1,false_negative,unexplained
3278,[Zn].n1ccc(cc1)c1nnc(s1)c1ccncc1,false_negative,unexplained
3404,[C]1N=NN=N1.[N]1N=N[C]=N1.[O-]C(=O)C1=C[C]=CC(=C1)C(=O)[O-].[O].[Zn],false_negative,unexplained
3551,[La].[O]P(=O)(C1=CC=C(C=[C]1)C12CC3(CC(C2)(CC(C1)(C3)c1ccc(cc1)P(=O)([O])[O])c1ccc(cc1)P(=O)([O])[O])c1ccc(cc1)P(=O)([O])[O])[O].[O]P(=O)(C1=[C]C=C(C=C1)C12CC3(CC(C2)(CC(C1)(C3)c1ccc(cc1)P(=O)([O])[O])c1ccc(cc1)P(=O)([O])[O])c1ccc(cc1)P(=O)([O])[O])[O],false_negative,out_of_domain_size
3555,[Cd].[O-]C(=O)c1ccc(cc1)O[P]1(Oc2ccc(cc2)C(=O)[O-])[N][P](Oc2ccc(cc2)C(=O)[O-])(Oc2ccc(cc2)C(=O)[O-])[N][P]([N]1)(Oc1ccc(cc1)C(=O)[O-])Oc1ccc(cc1)C(=O)[O-],false_negative,out_of_domain_size
3643,[Ni].[O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-].n1ccc(cc1)SSc1ccncc1,false_negative,unexplained
3701,C(Cn1cncc1)CCn1cncc1.[Cd],false_positive,unexplained
3936,[Mn].[O-]C(=O)c1cc(cc(c1)n1cnc2c1cccc2)n1cnc2c1cccc2,false_positive,unexplained
4005,[La].[O-]C(=O)C1=CC(=C(C=[C]1)C(=O)[O-])[N].[O-]C(=O)C1=[C]C=C(C(=C1)[N])C(=O)[O-],false_positive,unexplained
4080,C1N2CN3CN1CN(C2)C3.[Cu].[O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-],false_negative,unexplained
4243,O=C1[CH]C(=O)NC(=S)N1.[Ni],false_negative,unexplained
4244,O=C1[CH]C(=O)NC(=S)N1.[Mg],false_negative,unexplained
4424,[Cd].[O-]C(=O)c1cccc(c1)C(=O)[O-].n1ccc(cc1)C=Cc1ccccn1,false_negative,unexplained
4425,Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cd].n1ccc(cc1)C=Cc1ccccn1,false_negative,unexplained
4485,Cc1ccc(cc1)C1=N[C](C(=N1)C(=O)[O-])C(=O)O.[Cd],false_negative,unexplained
4525,[O-]C(=O)[C]1C=C[C](C=C1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[Sc][O]([Sc])[Sc],false_negative,unusual_metal
4541,[Mn].[O-]C(=O)C1=C([N]C(=N1)c1ccccc1)C(=O)[O-],false_negative,unexplained
4553,[Cd].[O-]C(=O)c1cc(cc(c1)c1ccc2c(c1)ccc(c2)C(=O)[O-])C(=O)[O-],false_positive,unexplained
4588,CCN1C=C2C(=O)O[Cd]OC2=C2[C]1N=C(N=C2)N1CCNCC1.CCN1[CH]C2=C(c3c1nc(nc3)N1CCNCC1)O[Cd]OC2=O.[Cd],false_negative,unexplained
4595,[O-]C(=O)c1cc2c(s1)c1cc(sc1c1c2sc(c1)C(=O)[O-])C(=O)[O-].[Sr]1[Sr][O]21[Sr][Sr]2.[Sr][O]1([Sr])[Sr][Sr]1,false_positive,unusual_metal
4668,[O-]C(=O)c1ccc(cc1)c1cc(cc(n1)c1ccc(cc1)C(=O)[O-])c1ccncc1.[Zn],false_negative,unexplained
4720,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[Tb],false_negative,unexplained
5038,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn].c1ncn(c1)c1cc(cc(c1)n1cncc1)c1cc(cc(c1)n1cncc1)n1cncc1,false_negative,unexplained
5055,[Eu].[O-]C(=O)C(=O)[O-].[O-][n+]1ccccc1CP(=O)(O)[O],false_negative,unexplained
5056,[Gd].[O-]C(=O)C(=O)[O-].[O-][n+]1ccccc1CP(=O)(O)[O],false_negative,unexplained
5057,[O-]C(=O)C(=O)[O-].[O-][n+]1ccccc1CP(=O)(O)[O].[Tb],false_negative,unexplained
5058,[Dy].[O-]C(=O)C(=O)[O-].[O-][n+]1ccccc1CP(=O)(O)[O],false_negative,unusual_metal
5059,[Ho].[O-]C(=O)C(=O)[O-].[O-][n+]1ccccc1CP(=O)(O)[O],false_negative,unusual_metal
5095,[Eu].[O-]C(=O)C1=CC(=C(C=[C]1)C(=O)[O-])N.[O-]C(=O)C1=[C]C=C(C(=C1)N)C(=O)[O-].[O-]C(=O)c1ccc(c(c1)N)C(=O)[O-],false_negative,unexplained
5229,O=C1N(c2ccncc2)C(=O)c2c3c1ccc1c3c(cc2)C(=O)N(C1=O)c1ccncc1.[O-]C(=O)C1=C(SC(=C2SC(=C(S2)C(=O)[O-])C(=O)[O-])S1)C(=O)[O-].[Zn],false_negative,unexplained
5295,[Cd].[O-]C(=O)c1ccc(c(c1)OCc1ccncc1)OCc1ccncc1,false_negative,unexplained
5312,N#C[C](c1ccc(cc1)[C](C#N)C#N)C#N.[O-][n+]1ccc(cc1)c1cc[n+](cc1)[O-].[Zn],false_negative,unexplained
5430,[C][N][N]c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cd].[O-]C(=O)C1=CC=[C]C=C1.[O-]C(=O)c1cc(cc(c1)C(=O)[O-])N1[C][C]1,false_negative,unexplained
5558,[C]#N.[Mn].[O-][n+]1cc[n+](cc1)[O-].[W],false_negative,unexplained
5644,O=C1N(c2cc(cc(c2)C(=O)[O-])C(=O)[O-])C(=O)c2c1c(c1ccccc1)c(c(c2c1ccccc1)c1ccccc1)c1ccccc1.[Mn],false_negative,unexplained
5669,C1COCCOc2cc(OCCOCCOCCOc3cc(OCCO1)cc(c3)c1ccncc1)cc(c2)c1ccncc1.[O-]C(=O)c1cccc(c1)c1ccc(c2c1[nH]c(n2)c1ccc(cc1)c1nc2c([nH]1)c(ccc2c1cccc(c1)C(=O)[O-])c1cccc(c1)C(=O)[O-])c1cccc(c1)C(=O)[O-].[Zn],false_negative,out_of_domain_size
5698,O1[Ba]23[Ba]1(O2)O3.[Ba].[O]c1c2Cc3cc(cc(c3O)Cc3cc(cc(c3O)Cc3cc(cc(c3O)Cc3c(c(Cc4c(c(Cc5c(c(Cc1cc(c2)S([O])([O])[O])cc(c5)S([O])([O])[O])O)cc(c4)S([O])([O])[O])O)cc(c3)S([O])([O])[O])O)S([O])([O])[O])S([O])([O])[O])S([O])([O])[O],false_negative,unusual_metal
5836,[O-]C(=O)c1cc(NCc2c(C)c(C)c(c(c2C)C)CNc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-].[Zn].n1ccc(cc1)c1ccncc1,false_negative,unexplained
5847,[O-]C(=O)C1=C[C]=C(C=[C]1)C(=O)[O-].[O-]C(=O)c1c([N])c([N])c(c(c1[N])[N])C(=O)[O-].[O-]C(=O)c1cc([N])c(cc1[N])C(=O)[O-].[Tb],false_negative,unexplained
5916,[O-]C(=O)[C]1C=CC=NC1=O.[Zn].n1ccc(cc1)c1ccncc1,false_negative,unexplained
5930,[O-]C(=O)c1nc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-].[Zn].n1ccc(cc1)c1ccncc1,false_negative,unexplained
6002,Cc1nccn1CCCCCCn1ccnc1C.[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn],false_positive,unexplained
6106,OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-].OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O.OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-].[Ba][OH2][Ba],false_negative,unusual_metal
6123,O=C(c1ccc(cc1)C(=O)[O-])c1cc(cc(c1)C(=O)c1ccc(cc1)C(=O)[O-])C(=O)c1ccc(cc1)C(=O)[O-].[Tb],false_positive,unexplained
6225,[Cu][Cu].[O-]C(=O)c1cc(cc(c1)c1ccnc2c1cccc2)C(=O)[O-],false_negative,unexplained
6250,[Cs].[Fe].[O-]C(=O)c1ccc(cc1)C1=C2C=CC3=[N]2[Fe]24n5c1ccc5C(=C1[N]2=C(C=C1)C(=c1n4c(=C3c2ccc(cc2)C(=O)[O-])cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],false_negative,unusual_metal
6397,[Cd].c1ncn(c1)c1ccc(cc1)N(c1ccc(cc1)n1cncc1)c1ccc(cc1)n1cncc1,false_negative,unexplained
6508,O=C(c1cc(cc(c1)C(=O)Nc1ccc(cc1)C(=O)[O-])C(=O)Nc1ccc(cc1)C(=O)[O-])Nc1ccc(cc1)C(=O)[O-].[Ce],false_positive,unusual_metal
