application,feature_group,model,split_type,n_seeds,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,enrichment_top10_mean,enrichment_top10_std,enrichment_top25_mean,enrichment_top25_std,train_time_sec_mean,train_time_sec_std,inference_time_sec_per_sample_mean,inference_time_sec_per_sample_std,peak_train_memory_kb_mean,peak_train_memory_kb_std,model_size_kb_mean,model_size_kb_std
ch4_storage,descriptor_only,logistic_regression,scaffold,3,0.7862481099088868,0.059587696012852714,0.7006051679741901,0.020379711354633442,0.30449699767728244,0.0925274184410688,0.4180245033239458,0.0900244879313108,0.766652665039036,0.021198974813429042,0.5713892975587593,0.05518793052965181,2.8058055916598392,0.668040230033733,2.132443428552412,0.16610377805962193,0.12633823333332353,0.015193157802426348,1.76809984428124e-06,7.089824489572642e-07,1619.1126302083333,219.89959091525103,1.978515625,0.0
ch4_storage,descriptor_only,random_forest,scaffold,3,0.7919065601301929,0.043542036364142785,0.662195074429117,0.09442975642022997,0.3803528094075748,0.03568927753662183,0.4818023247816218,0.05021484636633842,0.7591752628289354,0.040836627435232045,0.5757946839887891,0.0886482666407514,2.9523386586636833,0.43911417354211435,2.003568726760814,0.15003715547075008,1.659848899999967,0.04235257545222481,5.471663370927658e-05,2.001520449436731e-05,4525.4306640625,594.1926864317957,10402.3984375,3105.594506416309
ch4_storage,descriptor_only,xgboost,scaffold,3,0.7946466396593337,0.04190118960745717,0.6326825972355459,0.08273957161285096,0.42966421892926104,0.09461403149304388,0.5095185498078582,0.08920117661945244,0.7782151403137322,0.032428832968591635,0.593545753769868,0.09915651829108581,2.9006885733049237,0.42172649996969386,2.02463709204136,0.15419389275078227,0.4067624333333697,0.06968149512258351,6.779773369430319e-06,1.4706132546289092e-06,148.42610677083334,36.36405628426683,435.1897786458333,143.75168193404457
ch4_storage,precursor_descriptor,logistic_regression,scaffold,3,0.776590466767932,0.06802636301876126,0.6031403243876131,0.0687609386684095,0.4435251576310874,0.11290792175224665,0.5011965298006779,0.08708030146209261,0.7546946918923337,0.04551578286091971,0.5447912244131654,0.06561351160105111,2.503363654893874,1.069107517303305,2.086094262188794,0.312784071761354,0.9894145000001421,0.11196802551993637,1.3949709643911891e-05,2.9465814121678076e-06,25125.418619791668,3664.220756183328,12.986328125,0.0
ch4_storage,precursor_descriptor,random_forest,scaffold,3,0.8200243541149087,0.0478945131982649,0.8548003848003848,0.03243238187730797,0.37215155270487194,0.09709546474030249,0.5091298555829448,0.0822852410622562,0.8098867168277978,0.03441132139334671,0.6771023322770281,0.06492674403428493,3.3966101415838588,0.7876739274284815,2.333559729533924,0.18210523000940657,1.7044314999999794,0.034870995274774955,5.920845984077748e-05,2.1727538054489933e-05,17951.253580729168,2585.2729985810274,12062.87109375,901.6809672540764
ch4_storage,precursor_descriptor,xgboost,scaffold,3,0.8163146216621179,0.0404978872044785,0.7095121556820939,0.051394266585688374,0.46963322183680484,0.06372479160207684,0.5638711127041277,0.05767054053987278,0.810190728930778,0.020048701505756144,0.6560228010546458,0.08764438968971368,3.128955837251695,0.7269188383340836,2.2132395340838573,0.09745267030468897,1.7643529333333088,0.159425659866276,6.689223619161298e-05,1.8420310189774802e-05,5915.240234375,809.6440934805934,419.4853515625,122.63809853790276
co2_capture,shap_selected,logistic_regression,scaffold,3,0.775685425615538,0.009996787704604467,0.566884531590414,0.17063921585929048,0.21194624411536175,0.08688541798256173,0.29555123435215735,0.09229369983924297,0.7075440779143388,0.06904817506196924,0.4374504822331861,0.12812315433012286,2.334670323055835,0.4193362366577733,1.8313365200793645,0.31155815172564455,0.10020536666661428,0.010615485737800377,1.568407353303518e-06,5.544466588305052e-07,1459.9143880208333,197.30308654024194,1.86328125,0.0
co2_capture,shap_selected,random_forest,scaffold,3,0.7900858386755414,0.011320430651055131,0.6221712927595281,0.12900287426223814,0.25414424219571274,0.030080148202078202,0.3602124994288301,0.05119409975123851,0.720848031470521,0.053828651419005974,0.4946585832790055,0.1125751163022302,2.6328989232109983,0.1805475846406315,1.9423061913548825,0.20900522208545022,1.5895016333332326,0.00723391200776681,5.2742267083185725e-05,1.9458161288666954e-05,4414.940755208333,605.5152647252257,5675.1845703125,224.71457141819025
co2_capture,shap_selected,xgboost,scaffold,3,0.789863445275889,0.019372111693654354,0.600238674741986,0.038260422087610955,0.2824122874674345,0.055080746378251506,0.38253574789414496,0.05718060357843831,0.7176589337236421,0.026855576425386805,0.4712514913785897,0.06812663552780333,2.5552707805947494,0.003169423404931752,1.924327071384669,0.05124873036231316,0.24855016666651863,0.006495089963069791,4.081257306120923e-06,1.3600895446241566e-06,173.11783854166666,10.847268370789196,330.4638671875,146.93175867812536
ch4_storage,shap_selected,logistic_regression,scaffold,3,0.783087843504496,0.06297434010360879,0.6578352248844053,0.055170251926578436,0.3630458217919976,0.08985656987338755,0.4602927750953623,0.07564255480490036,0.723263541914455,0.03637307389670875,0.535125249660171,0.07849605922110847,2.6074706642392407,0.7945480109971735,1.8964778513007385,0.09723206892522042,0.08589089999986754,0.0049607085159352575,1.5802191140682474e-06,5.450374868525608e-07,1459.5439453125,195.55048023191895,1.85546875,0.0
